"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T02:00Z[UTC]","","17.65","29.8","101.12","1023.91","0.6048","5.5","3.1","5.0","0.33","28.0","53.0","71.0","145.0","17.5","100.0","","","1.086","0.4","336.0","","3.7E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T02:30Z[UTC]","","17.64","29.81","101.090004","1023.92","0.6048","5.9","3.3","4.6","0.31","40.0","55.0","68.0","140.0","17.3","100.0","0.0","","1.086","0.3","336.0","","3.93E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T03:00Z[UTC]","","17.61","29.82","101.06","1023.93","0.612","5.8","3.3","5.7","0.28","53.0","43.0","57.0","213.0","17.3","100.0","0.0","","1.086","0.4","49.0","","5.22E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T03:30Z[UTC]","","17.62","29.83","101.05","1023.93","0.5976","5.3","3.1","4.9","0.31","65.0","46.0","59.0","185.0","17.4","100.0","0.0","","1.086","0.3","22.0","","4.3E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T04:00Z[UTC]","","17.58","29.82","100.990005","1023.93","0.5976","5.9","3.2","4.8","0.35","75.0","43.0","59.0","162.0","17.5","100.0","0.0","","1.176","0.3","7.0","","3.49E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T04:30Z[UTC]","","17.57","29.81","101.009995","1023.92","0.5904","5.8","3.1","4.9","0.22","94.0","45.0","58.0","136.0","17.4","100.0","","","0.9955","0.3","345.0","","4.0E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T05:00Z[UTC]","","17.53","29.8","100.990005","1023.91","0.5832","5.8","2.8","3.8","0.36","93.0","43.0","58.0","151.0","17.4","100.0","","","1.176","0.3","7.0","","3.64E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T05:30Z[UTC]","","17.46","29.77","100.979996","1023.89","0.5832","5.9","2.9","4.2","0.36","89.0","43.0","59.0","197.0","17.4","100.0","","","1.086","0.4","53.0","","4.41E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T06:00Z[UTC]","","17.41","29.75","100.979996","1023.87","0.5904","6.0","3.0","5.5","0.34","94.0","44.0","55.0","145.0","17.2","0.0","0.0","","1.086","0.3","6.0","","3.76E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T06:30Z[UTC]","","17.37","29.75","100.97","1023.87","0.5832","6.2","3.0","4.8","0.32","107.0","37.0","56.0","185.0","17.2","0.0","","","1.176","0.3","51.0","","3.59E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T07:00Z[UTC]","","17.35","29.74","100.979996","1023.86","0.576","6.1","3.0","4.1","0.37","119.0","36.0","48.0","134.0","17.3","0.0","","","1.086","0.3","358.0","","3.7E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T07:30Z[UTC]","","17.29","29.72","100.97","1023.85","0.576","5.8","2.7","3.8","0.24","135.0","32.0","44.0","190.0","17.3","0.0","","","1.176","0.3","55.0","","3.79E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T08:00Z[UTC]","","17.26","29.7","100.95","1023.83","0.5904","6.3","2.8","3.4","0.3","154.0","28.0","37.0","195.0","17.2","0.0","","","1.176","0.3","85.0","","3.63E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T08:30Z[UTC]","","17.25","29.68","100.979996","1023.81","0.5976","5.8","2.8","3.8","0.22","164.0","35.0","43.0","200.0","17.2","0.0","","","1.176","0.3","79.0","","3.79E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T09:00Z[UTC]","","17.17","29.66","100.97","1023.8","0.6048","5.8","2.6","4.1","0.17","148.0","28.0","37.0","163.0","17.2","0.0","","0.0","1.176","0.3","67.0","","3.85E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T09:30Z[UTC]","","17.13","29.64","101.009995","1023.78","0.612","5.7","2.5","3.7","0.29","164.0","31.0","43.0","187.0","17.1","0.0","","2.40000004E14","1.176","0.3","106.0","","3.72E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T10:00Z[UTC]","","17.12","29.63","100.979996","1023.77","0.612","6.0","2.6","4.3","0.18","153.0","18.0","25.0","290.0","17.1","0.0","","1.31999995E15","1.086","0.3","97.0","","3.79E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T10:30Z[UTC]","","17.12","29.63","100.979996","1023.77","0.6408","6.5","2.6","3.9","0.16","166.0","18.0","27.0","188.0","17.0","0.0","","2.75999994E15","1.086","0.4","197.0","","3.68E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T11:00Z[UTC]","","17.13","29.61","101.009995","1023.76","0.6696","5.7","2.4","3.6","","","16.0","23.0","215.0","17.0","0.0","","6.18E15","1.176","0.4","257.0","","3.81E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T11:30Z[UTC]","","17.18","29.58","101.05","1023.73","0.648","5.8","2.2","3.5","0.11","185.0","8.0","16.0","317.0","16.7","0.0","","6.0000001E15","1.176","0.4","241.0","","3.74E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T12:00Z[UTC]","","17.21","29.57","101.020004","1023.72","0.6264","5.8","2.1","3.5","0.13","193.0","6.0","12.0","326.0","16.5","0.0","","9.1799997E15","1.086","0.4","235.0","","3.68E-4"
