"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T14:00Z[UTC]","","15.4","30.48","101.31","1022.41","0.3312","3.7","0.9","1.5","","","35.0","43.0","185.0","15.7","89.0","0.0","2.54399997E16","5.28","","15.0","","0.001153"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T14:30Z[UTC]","","15.45","30.43","101.259995","1022.36","0.2592","3.8","1.0","1.7","","","31.0","42.0","182.0","15.9","88.0","0.0","6.3300001E16","5.19","","21.0","","0.001151"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T15:00Z[UTC]","","15.44","30.4","101.22","1022.34","0.2664","3.8","1.0","1.7","","","35.0","42.0","169.0","16.1","88.0","0.0","6.8699999E16","5.38","","16.0","","0.001206"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T15:30Z[UTC]","","15.52","30.34","101.2","1022.28","0.2664","4.0","1.1","2.0","","","34.0","45.0","177.0","16.2","88.0","0.0","6.4199999E16","5.38","","21.0","","0.001255"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T16:00Z[UTC]","","15.58","30.3","101.18","1022.23","0.3024","4.0","1.1","2.0","","","33.0","42.0","180.0","16.1","88.0","0.0","3.8939999E16","5.47","","28.0","","0.00132"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T16:30Z[UTC]","","15.73","30.26","101.15","1022.16","0.288","4.3","1.2","2.1","","","30.0","39.0","185.0","16.1","89.0","0.0","6.4800001E16","5.47","","30.0","","0.001365"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T17:00Z[UTC]","","15.85","30.25","101.12","1022.13","0.2952","3.9","1.0","1.6","","","31.0","41.0","182.0","16.4","88.0","0.0","6.4860002E16","5.38","","31.0","","0.001404"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T17:30Z[UTC]","","16.04","30.26","101.12","1022.1","0.3024","4.2","1.2","1.7","","","31.0","38.0","185.0","16.6","88.0","0.0","5.4479998E16","5.28","","32.0","","0.001402"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T18:00Z[UTC]","","16.19","30.28","101.12","1022.09","0.3744","4.2","1.2","2.1","","","32.0","40.0","174.0","16.6","88.0","0.0","2.85599992E16","5.38","","32.0","","0.001388"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T18:30Z[UTC]","","16.21","30.26","101.090004","1022.06","0.3384","4.0","1.0","1.9","","","32.0","39.0","183.0","16.8","87.0","0.0","4.0019998E16","5.47","","39.0","","0.00139"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T19:00Z[UTC]","","16.2","30.24","101.06","1022.05","0.396","4.1","1.1","1.8","","","31.0","39.0","183.0","16.8","88.0","0.0","2.46000007E16","5.38","","41.0","","0.001381"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T19:30Z[UTC]","","16.22","30.23","101.05","1022.04","0.4248","4.1","1.1","1.9","","","32.0","42.0","183.0","16.7","88.0","0.0","2.40600009E16","5.47","","41.0","","0.001388"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T20:00Z[UTC]","","16.18","30.22","101.05","1022.04","0.36","4.2","1.1","1.8","","","34.0","41.0","181.0","16.7","88.0","0.0","3.7260001E16","5.38","","46.0","","0.001369"
